State Name_x,District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,State Name_y,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Uttar Pradesh,Deoria,597778.0,50811.130000000005,99828.92599999999,Uttar Pradesh,67928.0,4483.2480000000005,42387.072
Uttar Pradesh,Azamgarh,891024.0,80192.16,149692.032,Uttar Pradesh,80434.0,3860.832,51960.363999999994
Uttar Pradesh,Mau,352207.0,35572.907,61988.43200000001,Uttar Pradesh,99321.0,6753.828,63068.835
Uttar Pradesh,Ballia,564927.0,72310.656,125413.794,Uttar Pradesh,64454.0,5994.222000000001,39316.94
Uttar Pradesh,Jaunpur,926088.0,66678.33600000001,142617.552,Uttar Pradesh,80582.0,3545.608,57857.876
Uttar Pradesh,Ghazipur,700173.0,72817.99200000001,130232.17800000001,Uttar Pradesh,61467.0,4487.090999999999,40260.885
Uttar Pradesh,Chandauli,344937.0,23455.716,64848.156,Uttar Pradesh,50822.0,2337.812,35168.824
Uttar Pradesh,Varanasi,438935.0,29408.645,118951.38500000001,Uttar Pradesh,316129.0,11064.515000000001,281354.81
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),293510.0,18197.62,36982.26,Uttar Pradesh,45997.0,2621.829,25574.332000000002
Uttar Pradesh,Mirzapur,465152.0,22327.296000000002,89309.18400000001,Uttar Pradesh,77963.0,2728.7050000000004,53404.655000000006
Uttar Pradesh,Sonbhadra,337048.0,6066.8640000000005,46175.575999999994,Uttar Pradesh,91040.0,4278.88,64365.280000000006
Uttar Pradesh,Etah,334246.0,23397.22,30750.631999999998,Uttar Pradesh,67752.0,2100.312,53049.81599999999
Uttar Pradesh,Kanshiram Nagar,271234.0,24139.826,30378.207999999995,Uttar Pradesh,72490.0,3189.5600000000004,55744.81
Bihar,Pashchim Champaran,839514.0,41136.186,96544.11,Bihar,96620.0,7149.880000000001,52078.18
Bihar,Purba Champaran,1142260.0,63966.55999999999,177050.3,Bihar,101565.0,5789.205,54845.100000000006
Bihar,Sheohar,158484.0,5388.456,31379.832000000002,Bihar,7516.0,601.28,2773.404
Bihar,Sitamarhi,807294.0,50052.228,150963.978,Bihar,49670.0,3228.55,30050.35
Bihar,Madhubani,1047552.0,49234.944,181226.496,Bihar,41234.0,2927.6139999999996,22884.870000000003
Bihar,Supaul,572287.0,28042.063000000002,52078.117,Bihar,27815.0,2169.57,13017.42
Bihar,Araria,659061.0,24385.257000000005,44157.087,Bihar,44213.0,2829.632,24007.658999999996
Bihar,Kishanganj,401793.0,14062.755000000001,24911.166,Bihar,43357.0,3425.203,22502.283
Bihar,Purnia,712847.0,36355.197,61304.842,Bihar,85749.0,8317.652999999998,50677.659
Bihar,Katihar,668232.0,33411.6,84865.464,Bihar,69838.0,4958.498,47839.030000000006
Bihar,Madhepura,486278.0,30149.236,54949.414000000004,Bihar,24000.0,2088.0,12312.0
Bihar,Saharsa,432651.0,28554.966,54081.375,Bihar,38046.0,2815.4040000000005,25719.095999999998
Bihar,Darbhanga,907174.0,73481.094,189599.36599999998,Bihar,95539.0,8598.51,64011.130000000005
Bihar,Muzaffarpur,998694.0,83890.296,218713.98599999998,Bihar,120700.0,8207.6,93059.69999999998
Bihar,Gopalganj,515925.0,41274.0,93382.42500000002,Bihar,38133.0,2326.113,19371.564
Bihar,Siwan,632514.0,51866.147999999994,127767.828,Bihar,41858.0,2553.3379999999997,29886.612000000005
Bihar,Saran,701323.0,61015.100999999995,124835.49400000002,Bihar,76299.0,6027.621,45016.409999999996
Bihar,Vaishali,699317.0,86015.99100000001,174829.25,Bihar,51494.0,5458.364,31926.28
Bihar,Samastipur,1012979.0,98258.96299999999,172206.43000000002,Bihar,43486.0,2826.59,30527.172000000002
Bihar,Begusarai,594377.0,68947.73199999999,151566.135,Bihar,139248.0,13646.304,80346.096
Bihar,Khagaria,373696.0,33258.944,81092.032,Bihar,21007.0,1512.5040000000001,13927.640999999998
Bihar,Bhagalpur,522527.0,45982.376000000004,131154.277,Bihar,130634.0,10058.818,93664.57800000001
Bihar,Banka,425604.0,28941.072000000004,47242.044,Bihar,18492.0,943.092,8284.416
Bihar,Munger,222281.0,17560.199,58015.341,Bihar,85782.0,5747.394,63650.244
Bihar,Lakhisarai,175882.0,13542.914,47136.376000000004,Bihar,31763.0,2668.092,19566.007999999998
Bihar,Sheikhpura,108293.0,10179.542,26315.199,Bihar,24345.0,1801.5300000000002,12708.09
Bihar,Nalanda,514141.0,48843.395000000004,117224.148,Bihar,102522.0,7279.061999999999,75456.192
Bihar,Patna,657991.0,59877.181,181605.516,Bihar,552103.0,28709.356000000003,477569.095
Bihar,Bhojpur,434559.0,37806.632999999994,89084.595,Bihar,77368.0,6344.1759999999995,53074.448
Bihar,Buxar,299252.0,31421.46,59850.4,Bihar,35405.0,3115.6400000000003,23792.16
