District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Dhubri,460602.0,295706.484,81065.952,179634.78,60417.0,24045.965999999997,7370.874,48394.01699999999
Goalpara,228610.0,138080.44,28804.86,141966.81,39504.0,18329.856,3160.32,33578.4
Barpeta,447189.0,282623.448,84071.532,312137.92199999996,52192.0,17640.895999999997,3862.2080000000005,48434.176
Morigaon,232206.0,145128.75,34366.488000000005,132821.83200000002,25275.0,10817.699999999999,2325.3,22823.325
Nagaon,674999.0,400274.407,93149.86200000001,485999.27999999997,124186.0,54269.28200000001,7326.974,118225.07200000001
Sonitpur,483325.0,280811.82499999995,49299.149999999994,265828.75,64528.0,20778.016,2903.7599999999998,61301.6
Lakhimpur,293239.0,190018.872,28444.182999999997,157469.34300000002,34694.0,13079.638,1908.17,32855.218
Dhemaji,211758.0,140183.796,21175.800000000003,85338.47399999999,16504.0,7971.432,1188.2880000000002,15777.823999999999
Tinsukia,290704.0,162794.24000000002,14535.2,224714.192,90910.0,33727.61,4545.5,85909.95
Dibrugarh,299852.0,162519.784,17091.564000000002,222490.184,77163.0,22917.411,3163.6829999999995,74385.13200000001
Sivasagar,360182.0,217189.74599999998,21971.102,258970.85800000004,45047.0,16397.108,1756.833,41983.804000000004
Jorhat,286330.0,174374.97,23192.73,168648.37,80824.0,28530.872,3232.96,76136.208
Golaghat,292893.0,187451.52,23138.547,190673.34299999996,34190.0,13231.53,1435.98,33403.63
Karbi Anglong,215691.0,140414.841,9274.713,104610.135,37185.0,19336.2,1338.66,35139.825
Dima Hasao,37610.0,23468.64,1692.45,21475.31,21309.0,9631.668,703.197,20584.494
Cachar,346227.0,197003.16299999997,42239.693999999996,268672.15199999994,88933.0,33083.07600000001,5424.913,85197.814
Karimganj,261945.0,150880.32,39029.805,219247.96500000003,32695.0,11802.895,2844.4649999999997,31844.930000000004
Hailakandi,159215.0,94732.925,26748.120000000003,130397.085,16202.0,4941.61,1231.3519999999999,15894.162
Bongaigaon,181923.0,116976.489,22740.375,89506.11600000001,38470.0,11156.3,1654.2099999999998,35238.52
Chirang,129018.0,74185.34999999999,14062.962,30964.32,11613.0,4587.135,1718.7240000000002,9859.437000000002
Kamrup,390596.0,230842.23599999998,48043.308000000005,222639.71999999997,43849.0,19775.899,3727.1650000000004,34509.163
Kamrup Metropolitan,61334.0,32139.016,6194.7339999999995,39683.098,366858.0,100152.23400000001,14307.462,355852.26
Nalbari,210706.0,128530.66,20017.07,134219.722,28238.0,12227.054,2400.23,25442.438
Baksa,291641.0,187525.163,32663.791999999998,112865.06700000001,3580.0,1904.5600000000002,268.5,3368.7799999999997
Darrang,268517.0,154665.79200000002,47796.026000000005,127814.092,20189.0,6945.016,1736.254,18533.501999999997
Udalguri,267790.0,160406.21,28653.53,111132.84999999999,13835.0,4883.755,996.1200000000001,12423.83
Darjiling,303284.0,164379.928,24262.72,158617.532,215675.0,68368.975,11430.775,187637.25
Jalpaiguri,798378.0,461462.48399999994,127740.48,296198.238,319426.0,118826.47200000002,33539.729999999996,262887.598
Koch Bihar,803407.0,463565.83900000004,101229.282,447497.699,97331.0,32995.208999999995,7689.149,87889.893
Uttar Dinajpur,683981.0,396024.99899999995,84813.644,140900.086,94269.0,37707.6,13763.274,75980.814
